brand,model,version,year,segment,comment,label
skoda,kushaq,style,2025,suv,giá thu_nhập việt hy_vọng tương_lại hãng xún đẹp,negative
skoda,kushaq,style,2025,suv,kushaq apple carplay dây kết_nối tiện_lợi chuẩn xe hiện_đại,positive
mg,zs,luxury,2024,suv,mua xe tôn tiền,neutral
skoda,slavia,style,2025,sedan,xe đỉnh chuẩn xe châu_âu giá_cả,positive
hyundai,creta,n line,2025,suv,nline lăn bánh terri trend cx5 deluxe chặn 2 đầu xforce ptb yariss giame ptb kẹp đẹp ngon no hope hạng b lăn bánh loanh_quanh,negative
skoda,slavia,style,2025,sedan,xe giá hợp_lý ghê_thương_hiệu châu_âu_giá mấy vios bữa đi lái thử,positive
hyundai,accent,,2024,sedan,elantra,negative
kia,seltos,,2024,suv,đèn gầm_nhỉ creta phiên_bản mượt,negative
geely,coolray,flagship,2025,suv,an_toàn túi_khí đầy_đủ,positive
nissan,almera,,2025,sedan,nissan đi hơi ngon đại_lí,neutral
toyota,vios,,2025,sedan,hybrid vios lao_dong kinh_doanh nhe,neutral
byd,atto 2,,2025,suv,trung_quốc bug cố kéo cửa_sổ kẽ hở ra_lệnh v,negative
skoda,kushaq,style,2025,suv,việt_nam phanh khẩn_cấp cảnh_báo mù cảnh_báo phương_tiện cắt ngang khả_năng phần_cứng radar radar góc cơ_bản lẫy vô_lăng mát ghế ngon,positive
vinfast,vf 6,plus,2025,suv,chúc_mừng mua ô_tô 24 t câu_chuyện mua mua xe mexe phỏng_vấn đi xe xăng mg zs đầu vf6s nhu_cầu mặt ncl hài_lòng xe ngoại_thất nội_thất hiệu_năng free sạc xong quyết_định thủ_tướng lựa_chọn đúng_đắn p s logo mexe trống_trải logo cũ gắn xe cũ,positive
geely,coolray,flagship,2025,suv,toàn đem cũ việt_nam coi_thường,negative
toyota,corolla cross,v,2024,suv,tiền mua crv,negative
byd,atto 3,,2024,suv,review kém báo xe đi 450 km hề đi tốc_độ tốc_độ ảnh_hưởng phạm_vi di_chuyển xe_điện xe e34 công_bố đi 314 km đi 60 km h đi 100 km h đi 200 km anh_em bò 70 km h cao_tốc 5 b,negative
nissan,kicks,e-powers,2025,suv,ghế hơi đứng ngã bệ tì tui,negative
skoda,kushaq,style,2025,suv,xe châu_âu giá rẻ,positive
nissan,almera,,2025,sedan,xe suzuki nissan samurai nhật bổn,positive
kia,seltos,,2024,suv,chuẩn đổi thiết_kế liên_tục mãi thiết_kế cũ canh hợp_lý đổi đỡ nhàm_chán,neutral
mazda,cx-3,1.5 at,2025,suv,nội_thất tưởng mazda,neutral
geely,coolray,flagship,2025,suv,ngoại thất_thể_thao mâm xe đẹp sơn dễ_xước cẩn_thận,neutral
vinfast,vf 6,plus,2025,suv,rẻ,positive
hyundai,accent,,2024,sedan,đời ok_đời đầu xấu,negative
toyota,corolla cross,v,2024,suv,cà_rốt rộng ổn nha bề_ngoài đẹp cx5,positive
byd,seal 5,dm-i,2025,sedan,đắt rẻ tham_chiếu so_sánh civic hev ngon bố bay chê byd honda giá công_nhận rẻ 200 tr honda tôm,positive
vinfast,vf 6,plus,2025,suv,tiết_kiệm lái vui_vẻ hợp dân xe_ôm kt,positive
byd,seal 5,dm-i,2025,sedan,xe byd đẳng_cấp đứng đầu thế_giới xe_điện tiết_kiệm nhiên_liệu,positive
toyota,corolla cross,v,2024,suv,hộp cvt yếu,negative
geely,coolray,flagship,2025,suv,tim ưa xe tàu khựa lý_trí vòng đời ngắn,negative
byd,atto 3,,2024,suv,ổn trừ thiết_kế nội_thất,negative
skoda,kushaq,style,2025,suv,xe đẳng_cấp thế_nhỉ đám phân_khúc cửa,positive
skoda,slavia,active,2025,sedan,ngon city nha,positive
skoda,slavia,style,2025,sedan,xe ngon giá ngon kinh_tởm đám xe vin,positive
geely,coolray,flagship,2025,suv,hộp tự_động mượt,positive
vinfast,vf 6,eco,2025,suv,đắt 6 s chơ chụi option giá cao_cấp xe xăng đồng_hạng vf5 mấy lưng ghế đứng ngồi_xổm,negative
toyota,corolla cross,v,2024,suv,cửa_sổ trời phù_họp thời_tiết việt_nam,negative
haval,jolian,,2025,suv,full rẻ,positive
kia,seltos,,2024,suv,mãi đèn sương_mù chạy xe mùa đông,negative
byd,atto 3,,2024,suv,lái atto km tốn chi_phí vận_hành hệ_thống năng_lượng mặt_trời thải điện dư_thừa quãng đường đi lái_xe thành_phố km,positive
vinfast,vf 6,plus,2025,suv,định mua vf6 sợ an_toàn,neutral
vinfast,vf 6,eco,2025,suv,tiếng kêu hệ_thống mát máy,neutral
mg,5,std,2024,sedan,chạy xe hiếm khai_tử bảo_trì sữa chữa,negative
toyota,corolla cross,v,2024,suv,đi phố ok nhỏ_tiện bền,positive
honda,hr-v,l,2025,suv,rộng toyota_cross thiết_kế,positive
toyota,corolla cross,v,2024,suv,xe toy ngáo giá,negative
skoda,kushaq,style,2025,suv,skoda việt_nam ra_mắt kushaq giá rẻ tính_năng ngon chắc_hot,positive
mg,zs,luxury,2024,suv,std sấy_gương chiếu_hậu mãi xe tắt ac phím cứng tắt quạt_gió bật đh toàn đk màn_hình,negative
toyota,yaris cross,máy xăng,2024,suv,yaris nội_thất xấu toàn nhựa camera màn_hình sơ_sài hiển_thị kém tầm_giá kia seltot,negative
byd,atto 3,,2024,suv,lo trạm sạc đi thui,negative
nissan,kicks,e-powers,2025,suv,nắp capo gồ thế_này kiểu navara tầm lái_xe khó_chịu,negative
kia,seltos,facelift,2024,suv,kia thaco làm_khó dải sản_phẩm xe ngáo giá ế toàn hãng đua sâu cụ bảo mất_hút,negative
mitsubishi,xforce,ultimate,2024,suv,đi gờ giảm_tốc xóc long_óc bù sập ổ_voi vững_vàng,neutral
mg,zs,std,2024,suv,logo kia doanh_số liền,positive
mazda,2,at,2025,sedan,dòng ổn,positive
skoda,kushaq,style,2025,suv,xe phanh cơ_cái cảm_giá kéo phanh rẹt rẹt phê_dùng trí_nhớ cơ_bắp quên kéo phanh an_toàn,positive
hyundai,accent,,2024,sedan,xe đẹp giá 500 tr đẹp,positive
geely,coolray,flagship,2025,suv,động_cơ turbo chạy bốc tăng_tốc tiếng máy hơi ồn tốc_độ,neutral
geely,coolray,flagship,2025,suv,ghế massage lái_xe thư_giãn,positive
skoda,kushaq,style,2025,suv,xe cảm_giác hẳn mấy mẫu hàn_nhật tầm giá,positive
toyota,corolla cross,v,2024,suv,900 tr mua xe treo độc_lập vãi lồn thiệt,negative
skoda,kushaq,style,2025,suv,skoda thương_hiệu xe_hơi séc tiệp_khắc cũ volkswagen mua,positive
nissan,kicks,e-powers,2025,suv,hôm đi sửa xe nissan livina thành_phố thanh_hóa chỗ bảo_dưỡng,negative
vinfast,vf 6,eco,2025,suv,lái thử công_nhận âm_rẻ vf8 tiên_phong chạy đầm phết sd xe ford bmw vf9 lái ngon_vf6 ngon_lái đầm,positive
skoda,slavia,style,2025,sedan,cuộc_chiến xăng điện xe rẻ hẳn,positive
nissan,almera,,2024,sedan,vios vios mồm chán_đời,positive
nissan,almera,,2024,sedan,chốt almera v,positive
mitsubishi,xforce,ultimate,2024,suv,mits nâng tầm pr tầm mấy hãng xe tàu pr xe ngang tầm mits,positive
skoda,kushaq,style,2025,suv,hộp moment xoắn rẻ máy tubor xe đặt_biệt giá rẻ hrv honda cân_nhắc phân_khúc,positive
hyundai,accent,,2024,sedan,chê chê ngoại_hình đẹp,positive
skoda,kushaq,style,2025,suv,ít_dụng hàng,positive
mitsubishi,attrage,cvt,2025,sedan,bảo_dưỡng rẻ phụ_tùng,positive
skoda,kushaq,style,2025,suv,mua cx5 đỉnh_cao d haha,negative
haval,jolian,,2025,suv,1 m7 đứng xe trông lọt_thỏm trông xe to phết,positive
skoda,slavia,style,2025,sedan,dòng skoda công_ty ô_tô cộng hòa séc volwwagen đức mua dòng xe chết_lượng khung gầm_thân vỏ động_cơ bền_bỉ xe chạy si_nhê làm_việc cộng hòa séc yếu_tố việt_nam ưu_tiên mua skoda chất_lượng giá cực_kì hợp_lí đừng ngại đi ngược đông chẳng_qua việt_nam ta ngại đông hợp mạnh_dạn lựa_chọn đunga_đắn hợp_lí đi xe ô_tô dân ta tài_sản ta chua_trọng thực_dụng an_toàn tiền,positive
vinfast,vf 6,plus,2025,suv,đổi veloz vf6 hài_lòng mua kệ mây hàng_xóm xe_điện kha_khá,positive
vinfast,vf 6,eco,2025,suv,xe xe lặng xe dầu,negative
mg,zs,std,2024,suv,mua xe đầu hối_hận mua mg zs hợp_lý ổn rộng_rãi tầm giá_độ hoàn_thiện nét mg zs tham_khảo lái thử ý_kiến đừng ta,positive
byd,sealion 6,,2025,suv,ban_đầu rộng_rãi êm_ái chốt lc01 ngoại thất_nuột nội_thất bớt sến,negative
geely,coolray,flagship,2025,suv,xe geely bền_bỉ,positive
skoda,slavia,style,2025,sedan,phiên_bản đầu lăn bánh giá triệu hợp_lý xe lăn bánh ấn_độ giá nhà_đầu_tư nghiên_cứu kỹ áp_giá việt_nam,negative
mg,5,std,2024,sedan,xe đẹp giá đẹp mua anh_em,positive
vinfast,vf 6,eco,2025,suv,màu trắng vin vin vin đi lỗi sơn nẹp_loa ghế_lái bung vận_hành oke đen_vớ lỗi chăm_sóc vin chu_đáo bảo_hành sơn hôm,neutral
skoda,kushaq,style,2025,suv,phân_khúc karoq đắt phân_khúc ta mua kushaq bình_thường tiết_kiệm mấy trăm triệu p p karoq phân_khúc ngược_lại p p kushaq slavia phân_khúc,positive
skoda,kushaq,style,2025,suv,chạy skoda kodiaq hiện_đại tuyệt_vời giá tầm 1 ty5 xe mạnh_mẽ an_toàn cảm_giác lái tuyệt_vời mấy xe tuyệt_vời xe 1 ty5 sỡ_hữu xe việt_nam xe skoda kodiaq,positive
geely,coolray,flagship,2025,suv,đi attrager đx rẻ vỏ mỏng_tanh dàn_chân mềm nhũn gờ giảm_tốc 30 km văng xe máy máy rung ồn công_nông xe trung_quốc làm_ăn nghiêm_túc việt_nam xe nhật_hàn coi tiêu,negative
toyota,corolla cross,v,2024,suv,trung_h toyota,positive
kia,seltos,,2024,suv,đầu xe seltot đẹp đời cũ rối_mắt,negative
byd,atto 3,,2024,suv,đường nổi khác_biệt chất xe_điện vin thiết_kế nửa_vời xe xăng cập_nhật xu_thế,positive
skoda,kushaq,style,2025,suv,đớt đớt khó_chịu vô_cùng,negative
honda,city,1.5 rs,2024,sedan,xe đi cao_tốc sướng ga vọt ghế vợ_con thoải_mái bảo_hơi ồn phân_khúc xe ồn chấp_nhận mua hối_hận,positive
hyundai,creta,n line,2025,suv,hyundai dòng xe thiết_kế đồng_nhất ngôn_ngữ,negative
byd,sealion 6,,2025,suv,giá 799 trieu chờ ế hạ triệu,negative
kia,seltos,facelift,2024,suv,xe nhật 5 t 70 tr xe hàn 4 t 50 tr,negative
skoda,slavia,ambiton,2025,sedan,mâm đẹp hợp_thân xe cao_cấp,positive
skoda,slavia,style,2025,sedan,thèm lắm ước,positive
hyundai,accent,,2024,sedan,phong_cách thiết_kế lux lux_sa hợp,positive
geely,coolray,flagship,2025,suv,nội thất_led chiếu,positive
toyota,corolla cross,v,2024,suv,mặc_dù sở_hữu_tucson cao_cross khoản đi phố treo thanh_xoắn cross êm nhẹ_nhàng giải tốc_độ,positive
nissan,almera,,2024,sedan,nisan ok thương_hiệu xưa,positive
haval,jolian,,2025,suv,đi cx30 đổi xang xe tàu xe thú j7 jolion,positive
mitsubishi,attrage,cvt,2025,sedan,nội_thất nhựa cứng sạch_sẽ lau đẹp,neutral
skoda,kushaq,style,2025,suv,vô lăng_trợ_lực điện_lái nhẹ,positive
vinfast,vf 6,eco,2025,suv,đi hôm khiếp lốp mỏng ồn_sóc ngồi_xổm madaz khó_chịu mua xfor thoáng,negative
nissan,almera,,2024,sedan,đồ thay đắt lắm,negative
mg,5,luxury,2025,sedan,chúa tể thùng tôn di_động,negative
hyundai,accent,,2024,sedan,đẹp hợp_lý,positive
skoda,kushaq,style,2025,suv,động_cơ yếu đi loanh_quanh phố,negative
kia,seltos,facelift,2024,suv,cx5,negative
mg,zs,std,2024,suv,xe trung_quốc đối_thủ cạnh_tranh giá,positive
mazda,2,at,2025,sedan,khen md2 nội_thất chuồng gà chật_chội đi gia_đình giá đáng_giá động_cơ skyactive trứ_danh mazda hỏng toàn_tập,negative
mg,5,luxury,2025,sedan,giá xe trung_quốc công_nhận rẻ 200 tr,positive
nissan,almera,,2024,sedan,đi nissan_sunny nissan_ok tội khâu maketing kém,neutral
honda,city,1.5 rs,2025,sedan,giá tiền honda city số1 hạng b,positive
