brand,model,version,year,segment,comment,label
vinfast,vf 6,,2024,suv,VF6 xe cho cá nhân dùng chứ gia đình dùng thì ko ok. Mà việt nam chủ yếu mua xe dùng cho gia đình chứ ít cá nhân,negative
vinfast,vf 6,,2024,suv,Xe điện mà ồn hơn xe xăng có j đó sai sai,negative
huyndai,accent,,2024,sedan,Form này đẹp ác,positive
huyndai,accent,,2024,sedan,Tôi thấy nó thể thao đấy chứ,positive
vinfast,vf 6,eco,2025,suv,"Hiện tại xe VinFast chạy dịch vụ khá phổ biến. Sạc miễn phí 2 năm là điểm cộng lớn nếu dùng xe thường xuyên. Tuy nhiên, với mình, VF6 chưa đủ thuyết phục để ""xuống tiền"".",negative
vinfast,vf 6,eco,2025,suv,Lùa gà xe lỗi tùm lum,negative
skoda,slavia,style,2025,sedan,"Xe Nhật và Hàn cùng hút máu người việt mấy chục năm rồi bản thân họ là lợi nhuận chứ hay ho gì giá đắt công nghệ nghèo nàn , giờ xe Trung xe Châu Âu về Việt Nam mới thấy mấy ơi g Nhật Hàn ăn dày thật",positive
vinfast,vf 6,,2024,suv,"Tôi thất vọng vì xe không có lốp dự phòng, thật vô lý,Tipcar đánh giá rất khách quan, riêng cá nhân em, kênh Youtube Tipcar là chuẩn và hay nhất tại thời điểm hiện tại, chúc kênh ngày càng phát triển.",negative
nissan,almera,,2024,sedan,Ok quá,positive
toyota,vios,g,2024,sedan,Mình chạy 1 năm rùi .chạy yêm đi đã,positive
byd,sealion 6,,2025,suv,"Khung gầm sắt thép quá mỏng,giữa một thương hiệu quốc gia và thương hiệu ngoại quốc dẫu biết là làm việc kiếm tiền nhưng tôi sẽ không chọn việc gì có thể ảnh hưởng đến quốc gia",negative
toyota,vios,,2025,sedan,Vios vẫn dẫn đầu so với assent và citi,positive
skoda,kushaq,style,2025,suv,"Có niềm tin Skoda sẽ tồn tại cạnh tranh được với xe Nhật và Hàn, giá cả và tính năng là quá ok so với cùng phân khúc",positive
skoda,kushaq,style,2025,suv,"Ghế ngồi thoải mái, da thật, nhưng hàng sau không ngả.",neutral
mitsubishi,xforce,ultimate,2024,suv,"Mình mới mua xfoce utimet chạy đường trường cứ tầm 15phut thì bị sộc mùi lưu hùynh vô cabin xe.
Có ai bị trường hợp này ko ạ. Hãng nó kêu bình thường",negative
geely,coolray,flagship,2025,suv,Nếu mang đc bản Âu về được thì mới ngon . Vẫn dùng bản cũ cho người việt . Ko ưu ái người việt lắm,negative
skoda,slavia,ambiton,2025,sedan,Bác nói có quá ko? Hợp số 6AT sang số mượt mà êm ái? Hơi ngược với những xe CVT bác review,negative
mg,zs,std,2024,suv,Vừa nhận xe dc 1 tuần. Cảm nhận quá OK trong tầm tiền. Đã từng chạy sonet,positive
honda,city,1.5 rs,2025,sedan,Đẹp hơn vios,positive
skoda,slavia,style,2025,sedan,"Sedan mà gầm cao ghê vậy, trông cứ lạ lạ kiểu gì ấy",neutral
geely,coolray,flagship,2025,suv,Nội thất thì có vẻ ok rồi nhưng mà ngoại thất cũ quá rồi.,neutral
mitsubishi,xforce,ultimate,2024,suv,"Xe này ko có cái mã đẹp thì cũng chả ai quan tâm, ifact -__-",neutral
mg,5,std,2024,sedan,Để ý thấy hàng ghế phía sau có tựa đầu ghế giữa luôn. Rất quan tâm tới khách hàng,positive
omoda,c5,,2024,suv,Em ở sơn la đường cũng đồi núi đang ưng ý con C5 này mới xem đánh giá xem video anh đánh giá thực sự rất hài lòng,positive
geely,coolray,flagship,2025,suv,"mình cũng thích nhưng chờ vài năm nữa đã, còn hơi run run.",positive
byd,sealion 6,,2025,suv,Nhìn cái treo sau thật là ố giề,negative
byd,atto 3,,2024,suv,Xe nhìn thực tế bên ngoài đẹp thật,positive
skoda,kushaq,style,2025,suv,chơi đồ Wolk nhiều quá sửa chửa chi chắt phải đau ví lắm,negative
toyota,corolla cross,v,2024,suv,"Cross đc cái toyota và cũng đẹp. Nhưng ko gian chật hẹp, treo sau cứng. Nói chung lái chán",neutral
kia,seltos,,2024,suv,Nhất trí cái mông em hiện tại chưa đẹp thật.,negative
